global_idx,sentence,verb_lemma,verb,recipient,recipient_anim,theme,theme_anim,construction,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,recipient_pos_spacy,recipient_length,theme_length,length_difference,loose_default_best,loose_balanced_best,datives_removed_best,ditransitives_removed_best,counterfactual_best,short_first_best,random_first_best,long_first_best,long_first_headfinal_best,loose_default_ratio63,loose_balanced_ratio63,ditransitives_removed_ratio63,datives_removed_ratio63,counterfactual_ratio63,short_first_ratio63,random_first_ratio63,long_first_ratio63,long_first_headfinal_ratio63,loose_default_ratio21,loose_balanced_ratio21,datives_removed_ratio21,ditransitives_removed_ratio21,counterfactual_ratio21,short_first_ratio21,random_first_ratio21,long_first_ratio21,long_first_headfinal_ratio21,loose_default_ratio42,loose_balanced_ratio42,datives_removed_ratio42,ditransitives_removed_ratio42,counterfactual_ratio42,short_first_ratio42,random_first_ratio42,long_first_ratio42,long_first_headfinal_ratio42
9437,I' ll give you a tip.,give,give,you,a,a tip,i,give you a tip,VB,3,i,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,I' ll give a tip to you.,,1,2,-0.6931471806,0.5904693604,-0.3869724274,-0.03316712379,-0.3138735294,-0.4646499157,-0.1053686142,0.09451413155,0.7759222984,-0.1442656517,0.5904693604,-0.20002985,-0.09812569618,-0.1588466167,-0.605615139,0.2123975754,0.09451413155,0.7759222984,0.1921916008,0.682331562,-0.3869724274,-0.03316712379,-0.09533023834,-0.4646499157,-0.1053686142,0.07391190529,0.6605296135,-0.1442656517,0.4929959774,-0.0902493,-0.243380785,-0.3138735294,-0.5304684639,0.2889552116,0.1472835541,0.7408723831,0.2988567352
22162,"Rodolfo gives Mimi the pink bonnet he bought her, which he has kept as a souvenir of their love.",give,gives,mimi,a,"the pink bonnet he bought her , which he has kept as a souvenir of their love",i,"gives mimi the pink bonnet he bought her , which he has kept as a souvenir of their love",VBZ,1,rodolfo,NNP,PROPN,2,NN,NOUN,3,,,21,dative,alternating,"Rodolfo gives the pink bonnet he bought her, which he has kept as a souvenir of their love to Mimi.",,1,16,-2.772588722,0.307747364,0.01963186264,0.07681751251,0.06922769547,0.09940004349,-0.2599024773,-0.2510533333,-0.05102109909,-0.2422933578,0.307747364,0.1638741493,0.00977897644,-0.1091890335,0.009874343872,-0.4368724823,-0.2510533333,-0.05102109909,-0.3783035278,0.3259482384,0.01963186264,0.07681751251,0.2088479996,0.09940004349,-0.2599024773,-0.13357687,-0.223320961,-0.2422933578,0.2370972633,0.1993074417,0.03960466385,0.06922769547,0.07924461365,-0.1244244576,0.05888700485,-0.1141352654,-0.2505040169
11186,It was I who handed him your letter.,hand,handed,him,a,your letter,i,handed him your letter,VBD,4,who,PRP,PRON,5,NN,NOUN,6,,,9,dative,alternating,It was I who handed your letter to him.,,1,2,-0.6931471806,-0.199672699,-0.1557106972,-0.5060591698,-0.3780493736,-0.1645748615,-0.7896986008,-0.9569711685,-0.7440190315,-0.2199635506,-0.199672699,-0.2938416004,-0.4618549347,-0.7324962616,-0.3950409889,-0.6558761597,-0.9569711685,-0.7440190315,-0.4205551147,-0.150575161,-0.1557106972,-0.5060591698,-0.2376654148,-0.1645748615,-0.7896986008,-0.9001383781,-0.8225154877,-0.2199635506,-0.02751898766,-0.3778669834,-0.7820212841,-0.3780493736,-0.4844474792,-0.4761843681,-1.306248188,-0.4513521194,-0.3460454941
14895,I give you the command,give,give,you,a,the command,i,give you the command,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,5,dative,alternating,I give the command to you,,1,2,-0.6931471806,-0.04845476151,-1.164794207,-0.6569037437,-0.9487228394,-0.9157569408,-0.9056973457,-0.2553191185,0.868311882,-1.376785755,-0.04845476151,-0.925519228,-1.041042328,-0.6851940155,-0.89260602,-0.5831003189,-0.2553191185,0.868311882,-1.158804893,-0.4931743145,-1.164794207,-0.6569037437,-1.189829826,-0.9157569408,-0.9056973457,-0.2980957031,1.061469078,-1.376785755,-0.3318958282,-0.8014118671,-1.118008137,-0.9487228394,-1.134140491,-0.4074239731,0.0344285965,1.202417374,-1.094020367
18960,- so kind of just toss 'em about a bit - give 'em a good old shake and then what I'm gonna do is just get 'em in the oven,give,give,em,i,a good old shake,i,give em a good old shake,VB,11,,PRP,PRON,12,NN,NOUN,13,,,32,dative,alternating,- so kind of just toss 'em about a bit - give a good old shake to 'em and then what I'm gonna do is just get 'em in the oven,,1,4,-1.386294361,0.348287344,-0.06335520744,0.07293605804,0.04723954201,-0.1723692417,0.08820676804,-0.1808452606,-0.1359295845,0.07278680801,0.348287344,-0.02381849289,-0.05211591721,-0.00853395462,-0.1012015343,0.08355808258,-0.1808452606,-0.1359295845,-0.003432750702,0.162801981,-0.06335520744,0.07293605804,-0.003891706467,-0.1723692417,0.08820676804,-0.1271400452,-0.006925106049,0.07278680801,0.2728729248,-0.1489744186,-0.0340256691,0.04723954201,-0.2575893402,-0.107216835,-0.0554728508,-0.08126449585,-0.05908727646
12299,"I wanted to buy you a drink, both of you.",buy,buy,you,a,a drink,i,buy you a drink,VB,3,,PRP,PRON,4,NN,NOUN,5,,,12,dative,benefactive_alternating,"I wanted to buy a drink for you, both of you.",,1,2,-0.6931471806,0.05870270729,-0.2049224377,-0.5075228214,-0.5020513535,-0.4416806698,-0.5312278271,-0.2947831154,0.06302928925,-0.326769352,0.05870270729,-0.2557315826,-0.4833836555,-0.3793134689,-0.1870200634,-0.4307236671,-0.2947831154,0.06302928925,-0.2497701645,0.06109023094,-0.2049224377,-0.5075228214,-0.4379315376,-0.4416806698,-0.5312278271,-0.5526080132,-0.2340159416,-0.326769352,0.2320663929,-0.1877985001,-0.6229805946,-0.5020513535,-0.3770768642,-0.4342808723,-0.4244520664,0.1040978432,-0.3174014091
2732,I just gave her that!,give,gave,her,a,that,i,gave her that,VBD,2,i,PRP,PRON,3,DT,PRON,4,,,6,dative,alternating,I just gave that to her!,,1,1,0,-0.7828834057,-0.6683154106,-0.1967434883,0.1955838203,-0.6816995144,-0.2532515526,-0.03386116028,0.834751606,-0.7912812233,-0.7828834057,-0.8742909431,-0.6108961105,-0.4332265854,-0.8977499008,-0.1727023125,-0.03386116028,0.834751606,-0.4253320694,-0.4267058372,-0.6683154106,-0.1967434883,-0.2547135353,-0.6816995144,-0.2532515526,-0.3604502678,0.429854393,-0.7912812233,-0.7792363167,-0.685908556,-0.08341503143,0.1955838203,-0.8129711151,0.2146930695,0.0157995224,0.6973996162,-0.3808908463
4276,I am sure the prince will give us all some tea.,give,give,us all,a,some tea,i,give us all some tea,VB,6,the prince,PRP,PRON,7,NN,NOUN,9,,,12,dative,alternating,I am sure the prince will give some tea to us all.,,2,2,0,0.005933523178,-0.2936298847,-0.3480081558,-0.5467648506,-0.3163836002,-0.08407068253,-0.4539484978,-0.09861373901,-0.4140892029,0.005933523178,-0.1502625942,-0.1347236633,-0.5601353645,-0.5726644993,-0.4753961563,-0.4539484978,-0.09861373901,-0.3212022781,0.3171749115,-0.2936298847,-0.3480081558,-0.3370635509,-0.3163836002,-0.08407068253,-0.4260082245,-0.178940773,-0.4140892029,0.0001182556152,-0.08644294739,-0.3140692711,-0.5467648506,-0.7553272247,-0.3425269127,-0.2312426567,0.1815810204,-0.06174993515
4315,"“Well, I don’t mind telling you the truth you only!",tell,telling,you,a,the truth,i,telling you the truth,VBG,7,,PRP,PRON,8,NN,NOUN,9,,,14,dative,alternating,"“Well, I don’t mind telling the truth to you you only!",,1,2,-0.6931471806,-0.03167128563,-0.6451489925,-0.1431765556,-0.1423830986,-0.6960144043,0.08703517914,0.09933757782,0.1346940994,-0.1446909904,-0.03167128563,-0.357278347,-0.2416517735,-0.1856861115,-0.5338277817,-0.1856601238,0.09933757782,0.1346940994,-0.1127877235,-0.2775816917,-0.6451489925,-0.1431765556,-0.08110260963,-0.6960144043,0.08703517914,0.2458827496,-0.1209602356,-0.1446909904,-0.2088477612,-0.3282010555,-0.1787440777,-0.1423830986,-0.5478036404,-0.0219502449,-0.1814899445,-0.05540943146,-0.159175396
83,yeah he's got him some cookies?,get,got,him,a,some cookies,i,got him some cookies,VBD,3,,PRP,PRON,4,NNS,NOUN,5,,,8,dative,benefactive_alternating,yeah he's got some cookies for him?,,1,2,-0.6931471806,-0.8642261028,-0.6909270287,-0.7202134132,-1.258292913,-0.6681444645,-1.100539207,-0.7142624855,-0.3002510071,-0.1282753944,-0.8642261028,-0.9612278938,-1.134037971,-0.9729304314,-0.6906969547,-0.9395437241,-0.7142624855,-0.3002510071,0.121825695,-0.7554399967,-0.6909270287,-0.7202134132,-1.105920076,-0.6681444645,-1.100539207,-0.8808164597,-0.5667567253,-0.1282753944,-0.8070895672,-1.055805922,-0.8856239319,-1.258292913,-0.9635338783,-0.6711103916,-0.9656605721,-0.5832438469,-0.1870956421
