global_idx,sentence,verb_lemma,verb,recipient,recipient_anim,theme,theme_anim,construction,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,recipient_pos_spacy,recipient_length,theme_length,length_difference,strict_default_best,strict_balanced_best,strict_default_ratio21,strict_default_ratio42,strict_default_ratio63,strict_balanced_ratio21,strict_balanced_ratio42,strict_balanced_ratio63
9437,I' ll give you a tip.,give,give,you,a,a tip,i,give you a tip,VB,3,i,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,I' ll give a tip to you.,,1,2,-0.6931471806,0.3528976440429690,-0.3674428462982180,0.3528976440429690,0.464510440826416,0.5210092067718510,-0.176645278930664,-0.113182783126831,-0.3674428462982180
22162,"Rodolfo gives Mimi the pink bonnet he bought her, which he has kept as a souvenir of their love.",give,gives,mimi,a,"the pink bonnet he bought her , which he has kept as a souvenir of their love",i,"gives mimi the pink bonnet he bought her , which he has kept as a souvenir of their love",VBZ,1,rodolfo,NNP,PROPN,2,NN,NOUN,3,,,21,dative,alternating,"Rodolfo gives the pink bonnet he bought her, which he has kept as a souvenir of their love to Mimi.",,1,16,-2.772588722,0.0385360717773437,0.1609725952148440,0.0385360717773437,0.2040863037109380,0.032048225402832,0.134655475616455,0.0926446914672851,0.1609725952148440
11186,It was I who handed him your letter.,hand,handed,him,a,your letter,i,handed him your letter,VBD,4,who,PRP,PRON,5,NN,NOUN,6,,,9,dative,alternating,It was I who handed your letter to him.,,1,2,-0.6931471806,-0.2240350246429440,-0.3370516300201420,-0.2240350246429440,-0.021674633026123,-0.1906802654266360,-0.2328333854675290,-0.3637235164642330,-0.3370516300201420
14895,I give you the command,give,give,you,a,the command,i,give you the command,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,5,dative,alternating,I give the command to you,,1,2,-0.6931471806,-0.3623380661010740,-0.7415030002593990,-0.3623380661010740,-0.4913516044616700,-0.5453348159790040,-0.721233606338501,-1.0030808448791500,-0.7415030002593990
18960,- so kind of just toss 'em about a bit - give 'em a good old shake and then what I'm gonna do is just get 'em in the oven,give,give,em,i,a good old shake,i,give em a good old shake,VB,11,,PRP,PRON,12,NN,NOUN,13,,,32,dative,alternating,- so kind of just toss 'em about a bit - give a good old shake to 'em and then what I'm gonna do is just get 'em in the oven,,1,4,-1.386294361,0.3000161647796630,-0.0461401939392089,0.3000161647796630,0.2014622688293460,0.1565489768981930,-0.01051926612854,0.0190582275390625,-0.0461401939392089
12299,"I wanted to buy you a drink, both of you.",buy,buy,you,a,a drink,i,buy you a drink,VB,3,,PRP,PRON,4,NN,NOUN,5,,,12,dative,benefactive_alternating,"I wanted to buy a drink for you, both of you.",,1,2,-0.6931471806,0.1769161224365230,-0.3528151512146000,0.1769161224365230,0.2994668483734130,0.1195337772369380,-0.2448391914367680,-0.1349976062774660,-0.3528151512146000
2732,I just gave her that!,give,gave,her,a,that,i,gave her that,VBD,2,i,PRP,PRON,3,DT,PRON,4,,,6,dative,alternating,I just gave that to her!,,1,1,0,-0.5570647716522220,-0.526296854019165,-0.5570647716522220,-0.5679559707641600,-0.6425132751464840,-0.5744044780731200,-0.6705663204193120,-0.526296854019165
4276,I am sure the prince will give us all some tea.,give,give,us all,a,some tea,i,give us all some tea,VB,6,the prince,PRP,PRON,7,NN,NOUN,9,,,12,dative,alternating,I am sure the prince will give some tea to us all.,,2,2,0,0.0093896389007568,-0.2152884006500240,0.0093896389007568,-0.0223512649536132,0.1128139495849610,-0.3787832260131840,-0.3947451114654540,-0.2152884006500240
4315,"“Well, I don’t mind telling you the truth you only!",tell,telling,you,a,the truth,i,telling you the truth,VBG,7,,PRP,PRON,8,NN,NOUN,9,,,14,dative,alternating,"“Well, I don’t mind telling the truth to you you only!",,1,2,-0.6931471806,-0.1175405979156490,-0.5957686901092530,-0.1175405979156490,0.0540602207183837,0.0603489875793457,-0.2187516689300540,-0.351860761642456,-0.5957686901092530
83,yeah he's got him some cookies?,get,got,him,a,some cookies,i,got him some cookies,VBD,3,,PRP,PRON,4,NNS,NOUN,5,,,8,dative,benefactive_alternating,yeah he's got some cookies for him?,,1,2,-0.6931471806,-0.9037704467773440,-0.9429686069488520,-0.9037704467773440,-0.8178026676177980,-0.7610909938812260,-0.9259943962097170,-0.8301494121551510,-0.9429686069488520
5171,"Before leaving he gave her a flower, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,give,gave,her,a,a flower,i,gave her a flower,VBD,3,he,PRP,PRON,4,NN,NOUN,5,,,51,dative,alternating,"Before leaving he gave a flower to her, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,,1,2,-0.6931471806,-0.0342674255371093,-0.0666060447692871,-0.0342674255371093,-0.0194852352142334,-0.0410137176513671,-0.0447633266448974,-0.0408377647399902,-0.0666060447692871
20350,Can I offer you a drink?,offer,offer,you,a,a drink,i,offer you a drink,VB,2,i,PRP,PRON,3,NN,NOUN,4,,,7,dative,alternating,Can I offer a drink to you?,,1,2,-0.6931471806,0.6326043605804440,-0.5572190284729000,0.6326043605804440,0.5594713687896730,0.4271183013916020,-0.379706859588623,-0.5327553749084470,-0.5572190284729000
12549,"Ah, show 'em your stuff, girl.",show,show,em,a,your stuff,i,show em your stuff,VB,2,,PRP,PRON,3,NN,NOUN,4,,,9,dative,alternating,"Ah, show your stuff to 'em, girl.",,1,2,-0.6931471806,0.0976946353912353,-0.2986085414886470,0.0976946353912353,0.022907018661499,0.0162875652313232,-0.2016685009002690,-0.3588154315948490,-0.2986085414886470
1874,You just leave me a note to remind me.,leave,leave,me,a,a note to remind me,i,leave me a note to remind me,VB,2,you,PRP,PRON,3,NN,NOUN,4,,,10,dative,alternating/benefactive_alternating,You just leave a note to remind me for me.,,1,5,-1.609437912,0.5496530532836910,-0.1762080192565920,0.5496530532836910,0.674729585647583,0.7261152267456060,0.60652756690979,0.214271068572998,-0.1762080192565920
7706,"Mr McQueen went into the house with a heavy heart, and told his wife the bad news.",tell,told,his wife,a,the bad news,i,told his wife the bad news,VBD,12,,NN,NOUN,13,NN,NOUN,15,,,19,dative,alternating,"Mr McQueen went into the house with a heavy heart, and told the bad news to his wife.",,2,3,-0.4054651081,-0.2188382148742680,0.0026705265045166,-0.2188382148742680,-0.1245944499969480,-0.0705416202545166,-0.2459068298339840,-0.0535540580749511,0.0026705265045166
6569,"Kwa-Sind told his hate to Wah-bee-noh, who was a medicine man an’ juggler, an’ agreed that he would give Wah-bee-noh twenty ponies to make the Swallow again as he was so that the Sioux would laugh at him an’ call him Shau-goh-dah-wah, the Coward.",give,give,wah-bee-noh,a,twenty ponies,b,give wah-bee-noh twenty ponies,VB,22,he,NNP,PROPN,23,NNS,NOUN,24,,,51,dative,alternating,"Kwa-Sind told his hate to Wah-bee-noh, who was a medicine man an’ juggler, an’ agreed that he would give twenty ponies to Wah-bee-noh to make the Swallow again as he was so that the Sioux would laugh at him an’ call him Shau-goh-dah-wah, the Coward.",,1,2,-0.6931471806,-0.0906667709350586,0.0364775657653808,-0.0906667709350586,-0.0833492279052734,-0.1280980110168460,0.009312629699707,-0.051619529724121,0.0364775657653808
5181,"""Make him a dish of kheer (rice cooked with milk and sugar); and besides this, to please him, another dish of pearls. """,make,Make,him,a,a dish of kheer ( rice cooked with milk and sugar ),i,Make him a dish of kheer ( rice cooked with milk and sugar ),VB,1,,PRP,PRON,2,NN,NOUN,3,,,30,dative,do_only/benefactive_alternating,"""Make a dish of kheer ( rice cooked with milk and sugar ) for him; and besides this, to please him, another dish of pearls. """,,1,10,-2.302585093,-0.0499835014343261,0.0171370506286621,-0.0499835014343261,0.0159244537353515,-0.0293750762939453,-0.2287330627441410,-0.1291146278381350,0.0171370506286621
16971,"Fatima, give me a fudge sundae.",give,give,me,a,a fudge sundae,i,give me a fudge sundae,VB,2,,PRP,PRON,3,NN,NOUN,4,,,8,dative,alternating,"Fatima, give a fudge sundae to me.",,1,3,-1.098612289,0.5407838821411130,-0.2292485237121580,0.5407838821411130,0.0268507003784179,0.2004323005676270,-0.3032622337341310,-0.4629907608032230,-0.2292485237121580
14845,"Surrounded by people who adore you, people who might tell this girl heart-tugging stories about how you inspired their sons to join the navy.",tell,tell,this girl,a,heart-tugging stories about how you inspired their sons to join the navy,i,tell this girl heart-tugging stories about how you inspired their sons to join the navy,VB,10,who,NN,NOUN,11,NNS,NOUN,13,,,26,dative,alternating,"Surrounded by people who adore you, people who might tell heart-tugging stories about how you inspired their sons to join the navy to this girl.",,2,12,-1.791759469,0.3405241966247560,0.2290539741516110,0.3405241966247560,0.1509037017822270,-0.0855131149291992,0.012953758239746,0.0382418632507324,0.2290539741516110
640,you gave me the mixed up alien there.,give,gave,me,a,the mixed up alien,a,gave me the mixed up alien,VBD,1,you,PRP,PRON,2,NN,NOUN,3,,,9,dative,alternating,you gave the mixed up alien to me there.,,1,4,-1.386294361,-0.0476412773132324,-0.1348724365234380,-0.0476412773132324,-0.129007339477539,-0.0483803749084472,-0.4343905448913570,-0.1301212310791020,-0.1348724365234380
